system   I             system.c:245  al_install_system                [   0.00096] Allegro version: 5.1.12 (WIP)
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.00129] Loading DirectSound module
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00188] Also searching C:\Users\Administrador\Desktop\TrabajoPractico-PG-2-pt1\TrabajoPractico PG 2 pt1\bin\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00207] PathFindOnPath found: C:\WINDOWS\system32\dsound.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00209] Calling LoadLibrary C:\WINDOWS\system32\dsound.dll
system   I            wsystem.c:638  load_library_at_path             [   0.00451] Loaded C:\WINDOWS\system32\dsound.dll
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00455] Starting DirectSound...
audio-dsound D           dsound.cpp:285  _dsound_open                     [   0.02782] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.02949] Using DirectSound driver
system   D            wsystem.c:674  maybe_parent_dir                 [   0.02969] Also searching C:\Users\Administrador\Desktop\TrabajoPractico-PG-2-pt1\TrabajoPractico PG 2 pt1\bin\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.02984] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.02986] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.03243] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.07764] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.07824] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.07828] al_display=058F9330
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.07830] al_display->vt=03000418
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.08329] found 160 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.08336] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08340] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08342] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08344] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08346] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08348] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08349] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08352] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08353] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08355] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08357] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08359] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08361] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08363] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08365] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08373] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08375] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08377] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08378] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08380] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08382] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08384] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08386] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08389] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08391] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08393] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08394] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08396] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08397] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08399] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08400] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08402] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08403] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08405] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08406] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08408] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08409] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08411] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08412] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08414] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08415] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08417] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08418] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08420] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08422] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08423] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08425] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08427] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08428] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08430] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08432] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08433] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08435] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08437] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08439] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08441] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08443] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08445] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08447] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08449] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08451] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08453] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08455] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08457] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08459] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08461] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08463] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08465] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08467] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08469] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08470] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08473] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08474] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08476] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08478] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08482] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08483] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08486] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08487] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08489] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08492] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08494] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08496] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08498] Single Buffer requirement not met.
